surp_csv_name,counterbalance
csv_files/surprise_csv_files/surpriseTable_row43.csv,A
csv_files/surprise_csv_files/surpriseTable_row436.csv,A
csv_files/surprise_csv_files/surpriseTable_row10.csv,A
csv_files/surprise_csv_files/surpriseTable_row71.csv,A
csv_files/surprise_csv_files/surpriseTable_row382.csv,A
csv_files/surprise_csv_files/surpriseTable_row7.csv,A
csv_files/surprise_csv_files/surpriseTable_row211.csv,A
csv_files/surprise_csv_files/surpriseTable_row24.csv,A
csv_files/surprise_csv_files/surpriseTable_row30.csv,A
csv_files/surprise_csv_files/surpriseTable_row178.csv,A
csv_files/surprise_csv_files/surpriseTable_row57.csv,A
csv_files/surprise_csv_files/surpriseTable_row262.csv,A
csv_files/surprise_csv_files/surpriseTable_row125.csv,A
csv_files/surprise_csv_files/surpriseTable_row361.csv,A
csv_files/surprise_csv_files/surpriseTable_row85.csv,A
csv_files/surprise_csv_files/surpriseTable_row177.csv,A
csv_files/surprise_csv_files/surpriseTable_row217.csv,A
csv_files/surprise_csv_files/surpriseTable_row407.csv,A
csv_files/surprise_csv_files/surpriseTable_row288.csv,A
csv_files/surprise_csv_files/surpriseTable_row457.csv,A
csv_files/surprise_csv_files/surpriseTable_row63.csv,A
csv_files/surprise_csv_files/surpriseTable_row22.csv,A
csv_files/surprise_csv_files/surpriseTable_row246.csv,A
csv_files/surprise_csv_files/surpriseTable_row304.csv,A
csv_files/surprise_csv_files/surpriseTable_row422.csv,A
csv_files/surprise_csv_files/surpriseTable_row185.csv,A
csv_files/surprise_csv_files/surpriseTable_row168.csv,A
csv_files/surprise_csv_files/surpriseTable_row222.csv,A
csv_files/surprise_csv_files/surpriseTable_row281.csv,A
csv_files/surprise_csv_files/surpriseTable_row340.csv,A
csv_files/surprise_csv_files/surpriseTable_row280.csv,A
csv_files/surprise_csv_files/surpriseTable_row434.csv,A
csv_files/surprise_csv_files/surpriseTable_row31.csv,A
csv_files/surprise_csv_files/surpriseTable_row162.csv,A
csv_files/surprise_csv_files/surpriseTable_row172.csv,A
csv_files/surprise_csv_files/surpriseTable_row449.csv,A
csv_files/surprise_csv_files/surpriseTable_row410.csv,A
csv_files/surprise_csv_files/surpriseTable_row478.csv,A
csv_files/surprise_csv_files/surpriseTable_row320.csv,A
csv_files/surprise_csv_files/surpriseTable_row122.csv,A
csv_files/surprise_csv_files/surpriseTable_row359.csv,A
csv_files/surprise_csv_files/surpriseTable_row399.csv,A
csv_files/surprise_csv_files/surpriseTable_row473.csv,A
csv_files/surprise_csv_files/surpriseTable_row53.csv,A
csv_files/surprise_csv_files/surpriseTable_row120.csv,A
csv_files/surprise_csv_files/surpriseTable_row310.csv,A
csv_files/surprise_csv_files/surpriseTable_row274.csv,A
csv_files/surprise_csv_files/surpriseTable_row27.csv,A
csv_files/surprise_csv_files/surpriseTable_row193.csv,A
csv_files/surprise_csv_files/surpriseTable_row358.csv,A
csv_files/surprise_csv_files/surpriseTable_row74.csv,A
csv_files/surprise_csv_files/surpriseTable_row379.csv,A
csv_files/surprise_csv_files/surpriseTable_row326.csv,A
csv_files/surprise_csv_files/surpriseTable_row480.csv,A
csv_files/surprise_csv_files/surpriseTable_row60.csv,A
csv_files/surprise_csv_files/surpriseTable_row330.csv,A
csv_files/surprise_csv_files/surpriseTable_row109.csv,A
csv_files/surprise_csv_files/surpriseTable_row37.csv,A
csv_files/surprise_csv_files/surpriseTable_row412.csv,A
csv_files/surprise_csv_files/surpriseTable_row336.csv,A
csv_files/surprise_csv_files/surpriseTable_row77.csv,A
csv_files/surprise_csv_files/surpriseTable_row459.csv,A
csv_files/surprise_csv_files/surpriseTable_row351.csv,A
csv_files/surprise_csv_files/surpriseTable_row278.csv,A
csv_files/surprise_csv_files/surpriseTable_row158.csv,A
csv_files/surprise_csv_files/surpriseTable_row418.csv,A
csv_files/surprise_csv_files/surpriseTable_row306.csv,A
csv_files/surprise_csv_files/surpriseTable_row154.csv,A
csv_files/surprise_csv_files/surpriseTable_row450.csv,A
csv_files/surprise_csv_files/surpriseTable_row230.csv,A
csv_files/surprise_csv_files/surpriseTable_row456.csv,A
csv_files/surprise_csv_files/surpriseTable_row413.csv,A
csv_files/surprise_csv_files/surpriseTable_row38.csv,A
csv_files/surprise_csv_files/surpriseTable_row369.csv,A
csv_files/surprise_csv_files/surpriseTable_row164.csv,A
csv_files/surprise_csv_files/surpriseTable_row20.csv,A
csv_files/surprise_csv_files/surpriseTable_row474.csv,A
csv_files/surprise_csv_files/surpriseTable_row61.csv,A
csv_files/surprise_csv_files/surpriseTable_row441.csv,A
csv_files/surprise_csv_files/surpriseTable_row197.csv,A
csv_files/surprise_csv_files/surpriseTable_row440.csv,A
csv_files/surprise_csv_files/surpriseTable_row116.csv,A
csv_files/surprise_csv_files/surpriseTable_row267.csv,A
csv_files/surprise_csv_files/surpriseTable_row377.csv,A
csv_files/surprise_csv_files/surpriseTable_row199.csv,A
csv_files/surprise_csv_files/surpriseTable_row272.csv,A
csv_files/surprise_csv_files/surpriseTable_row159.csv,A
csv_files/surprise_csv_files/surpriseTable_row224.csv,A
csv_files/surprise_csv_files/surpriseTable_row353.csv,A
csv_files/surprise_csv_files/surpriseTable_row289.csv,A
csv_files/surprise_csv_files/surpriseTable_row401.csv,A
csv_files/surprise_csv_files/surpriseTable_row319.csv,A
csv_files/surprise_csv_files/surpriseTable_row175.csv,A
csv_files/surprise_csv_files/surpriseTable_row454.csv,A
csv_files/surprise_csv_files/surpriseTable_row114.csv,A
csv_files/surprise_csv_files/surpriseTable_row143.csv,A
csv_files/surprise_csv_files/surpriseTable_row1.csv,A
csv_files/surprise_csv_files/surpriseTable_row151.csv,A
csv_files/surprise_csv_files/surpriseTable_row216.csv,A
csv_files/surprise_csv_files/surpriseTable_row58.csv,A
csv_files/surprise_csv_files/surpriseTable_row55.csv,A
csv_files/surprise_csv_files/surpriseTable_row51.csv,A
csv_files/surprise_csv_files/surpriseTable_row161.csv,A
csv_files/surprise_csv_files/surpriseTable_row273.csv,A
csv_files/surprise_csv_files/surpriseTable_row126.csv,A
csv_files/surprise_csv_files/surpriseTable_row235.csv,A
csv_files/surprise_csv_files/surpriseTable_row317.csv,A
csv_files/surprise_csv_files/surpriseTable_row68.csv,A
